order_id,order_date,country,region,customer,product,crop,quantity,unit_price_eur,revenue_eur,sales_channel,currency,fx_rate_used,unit_price_local,revenue_local
101180,2025-07-03,Canada,Nord America,AgriFarm SC,GranCampo,Mais,1.0,36280.57,36280.57,Dealer,CAD,1.548326,56174.15,56174.15
100343,06-21-2025,Brasile,Sud America,GrainAgro Ltd,TaglioFlex,Cereali (grano/orzo),3.0,27329.94,81989.82,Dealer,BRL,5.599012,153020.66,459061.99
100650,2022-11-15,Sud Africa,Africa,AgriFarm SA,FienoFacile,Foraggio,4.0,32329.06,129316.24,Dealer,ZAR,19.66632,635793.64,2543174.56
100773,2022-07-18,Argentina,Sud America,FarmFarm Srl,TaglioFlex,Cereali (grano/orzo),3.0,30900.81,92702.43,Vendita diretta,ARS,1034.3626,31962642.17,95887926.52
100804,2021-07-02,Brasile,Sud America,FarmTerra Sp. z o.o.,TaglioFlex,Cereali (grano/orzo),3.0,28467.86,85403.58,Vendita diretta,BRL,5.788014,164772.37,494317.12
100359,13-Mar-2025,Canada,Nord America,AgroAgro LLC,TaglioFlex,Cereali (grano/orzo),4.0,28588.61,114354.44,Dealer,CAD,1.366467,39065.39,156261.57
100045,08-15-2025,Serbia,Est Europa,CerealFarm GmbH,GranCampo,Mais,4.0,,139232.8,Dealer,RSD,113.388066,3946834.48,15787337.92
100232,2024-11-03,Brasile,Sud America,GrainAgro Ltd,PrimaRaccolta,Mais,1.0,20227.07,20227.07,Dealer,BRL,5.738153,116066.02,116066.02
100619,2023-06-12,Serbia,Est Europa,FarmCampo Srl,GranCampo,Mais,3.0,36977.93,110933.79,Dealer,RSD,107.208938,3964364.6,11893093.81
100044,2021-03-25,Messico,Nord America,CerealCereal LLC,TaglioFlex,Cereali (grano/orzo),3.0,28982.21,86946.63,Dealer,MXN,19.438608,563373.82,1690121.46
100589,2021-05-27,Canada,Nord America,AgriFarm SC,PrimaRaccolta,Mais,3.0,19312.05,57936.15,Vendita diretta,CAD,1.508549,29133.17,87399.52
100064,2021-03-10,Ungheria,Est Europa,FarmAgro Sp. z o.o.,PrimaRaccolta,Mais,3.0,24119.57,72358.71,Dealer,HUF,411.312951,9920691.51,29762074.54
101016,2024-04-04,Italia,Sud Europa,AgroAgro SC,GranCampo,Mais,2.0,36856.09,73712.18,Dealer,EUR,1.0,36856.09,73712.18
100271,07-Nov-2022,Russia,Est Europa,AgroCereal GmbH,SolePieno,Girasole,2.0,25428.37,50856.74,Dealer,RUB,96.739191,2459919.94,4919839.88
101141,2022-07-16,Serbia,Est Europa,CerealFarm GmbH,FienoFacile,Foraggio,2.0,30443.87,60887.74,Dealer,RSD,115.895911,3528320.05,7056640.1
